topology,total_paths,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo5_rnp_it2,2588,1.5029036004645762,1722,1.4620355411954766,1238,1.6074380165289257,484
topo5_rnp_it3,2588,1.5029036004645762,1722,1.4620355411954766,1238,1.6074380165289257,484
topo5_rnp_it4,2588,1.5029036004645762,1722,1.4620355411954766,1238,1.6074380165289257,484
topo5_rnp_it5,2588,1.5029036004645762,1722,1.4620355411954766,1238,1.6074380165289257,484
topo6_it0,55847,29.33140756302521,1904,32.78363493312352,1271,22.39968404423381,633
topo6_rac_it1,56149,28.98760970573051,1937,32.33540372670807,1288,22.343605546995377,649
topo6_rac_it2,57548,29.28651399491094,1965,32.62042682926829,1312,22.588055130168453,653
topo6_rac_it3,50085,27.39879649890591,1828,30.382207578253706,1214,21.5,614
topo6_rac_it4,53374,31.067520372526193,1718,34.55109170305677,1145,24.1064572425829,573
topo6_rac_it5,55440,30.130434782608695,1840,32.18382352941177,1224,26.050324675324674,616
topo6_rnp_it1,58621,29.71160669031931,1973,33.986353297952995,1319,21.09021406727829,654
topo6_rnp_it2,63896,34.0234291799787,1878,37.76701361088871,1249,26.589825119236885,629
topo6_rnp_it3,64600,34.80603448275862,1856,39.28745928338762,1228,26.04299363057325,628
topo6_rnp_it4,69625,36.56775210084034,1904,41.3166144200627,1276,26.918789808917197,628
topo6_rnp_it5,65344,35.45523602821487,1843,39.86764705882353,1224,26.730210016155088,619
topo7_it0,22710,14.557692307692308,1560,16.29190207156309,1062,10.859437751004016,498
topo7_rac_it1,34717,22.254487179487178,1560,24.42090395480226,1062,17.634538152610443,498
topo7_rac_it2,23760,15.23076923076923,1560,16.495291902071564,1062,12.534136546184738,498
topo7_rac_it3,23178,14.857692307692307,1560,16.23728813559322,1062,11.91566265060241,498
topo7_rac_it4,22664,14.528205128205128,1560,15.67984934086629,1062,12.072289156626505,498
topo7_rac_it5,32532,20.853846153846153,1560,22.33804143126177,1062,17.688755020080322,498
topo7_rnp_it1,22710,14.557692307692308,1560,16.29190207156309,1062,10.859437751004016,498
topo7_rnp_it2,28843,18.489102564102563,1560,20.753295668549907,1062,13.660642570281125,498
topo7_rnp_it3,30377,19.472435897435897,1560,21.96045197740113,1062,14.166666666666666,498
topo7_rnp_it4,30262,19.398717948717948,1560,21.94161958568738,1062,13.975903614457831,498
topo7_rnp_it5,30446,19.516666666666666,1560,21.998116760828626,1062,14.224899598393574,498
topo8_it0,45836,38.55004205214466,1189,36.406172839506176,810,43.13192612137203,379
topo8_rac_it1,52666,44.29436501261564,1189,41.00123609394314,809,51.305263157894736,380
topo8_rac_it2,53847,45.24957983193277,1190,41.525925925925925,810,53.18684210526316,380
topo8_rac_it3,46361,38.95882352941177,1190,36.15679012345679,810,44.93157894736842,380
topo8_rac_it4,53590,45.03361344537815,1190,42.44197530864197,810,50.55789473684211,380
topo8_rac_it5,45221,38.00084033613445,1190,38.196296296296296,810,37.584210526315786,380
topo8_rnp_it1,49833,41.91169049621531,1189,39.590852904820764,809,46.85263157894737,380
topo8_rnp_it2,65297,54.871428571428574,1190,49.80246913580247,810,65.67631578947369,380
topo8_rnp_it3,64674,54.34789915966387,1190,48.81358024691358,810,66.14473684210526,380
topo8_rnp_it4,69558,58.452100840336136,1190,52.65679012345679,810,70.80526315789474,380
topo8_rnp_it5,51326,43.13109243697479,1190,40.82592592592592,810,48.044736842105266,380
topo9_it0,1194,2.3596837944664033,506,2.25,312,2.536082474226804,194
topo9_rac_it1,2638,5.213438735177865,506,5.243589743589744,312,5.164948453608248,194
topo9_rac_it2,4566,9.023715415019764,506,9.01923076923077,312,9.030927835051546,194
topo9_rac_it3,7156,14.142292490118576,506,14.5,312,13.56701030927835,194
topo9_rac_it4,10286,20.32806324110672,506,20.628205128205128,312,19.84536082474227,194
topo9_rac_it5,8834,17.458498023715414,506,17.17948717948718,312,17.90721649484536,194
topo9_rnp_it1,1194,2.3596837944664033,506,2.25,312,2.536082474226804,194
topo9_rnp_it2,1898,3.7509881422924902,506,3.8846153846153846,312,3.536082474226804,194
topo9_rnp_it3,3028,5.984189723320158,506,6.301282051282051,312,5.474226804123711,194
topo9_rnp_it4,2772,5.478260869565218,506,6.076923076923077,312,4.515463917525773,194
topo9_rnp_it5,5384,10.640316205533598,506,11.60897435897436,312,9.082474226804123,194
