topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth,border_breadth_avg
topo0_rac_it2,20,32,3.2,1,1.1661903789690602,1.9219280948873623,-0.05747126436781609,0.35714285714285715,0.5599999999999999,0.3,0.712689002270293,3.648121334240323,0.2631327245863026,"{'3': 0.4, '1': 0.6, '2': 0.4, '4': 0.6}",0.5
topo0_rnp_it1,20,32,3.2,1,1.1224972160321824,1.8709505944546685,-0.033091202582728005,0.3614457831325301,0.5549999999999999,0.2,0.688073454987332,3.6802495718003083,0.23833036289719325,"{'3': 0.4, '1': 0.4, '2': 0.6, '4': 0.6}",0.5
topo0_rac_it3,20,32,3.2,1,1.2083045973594573,2.019035274338866,-0.0199203187250996,0.3176470588235294,0.45500000000000007,0.4,0.8090938911193413,3.710224677726537,0.32745200704459476,"{'3': 0.6, '1': 0.6, '2': 0.6, '4': 0.6}",0.6
topo0_rac_it4,20,32,3.2,1,1.2083045973594573,2.019035274338866,-0.12191235059760956,0.3176470588235294,0.4716666666666667,0.3,0.6712795386400674,3.6687241729759474,0.27685955902120274,"{'3': 0.4, '1': 0.8, '2': 0.6, '4': 0.6}",0.6000000000000001
topo0_rac_it5,20,32,3.2,1,1.32664991614216,2.1709505944546685,-0.1590909090909091,0.2727272727272727,0.38666666666666666,0.4,0.966951236747942,3.7654013890548432,0.38514436437092053,"{'3': 0.6, '1': 0.8, '2': 0.8, '4': 0.6}",0.7000000000000001
topo0_rnp_it4,20,32,3.2,1,1.1661903789690602,1.9016094970590274,0.010752688172043012,0.35714285714285715,0.5366666666666666,0.4,1.1616362262946698,3.7613647084235193,0.23815065590934492,"{'3': 0.8, '1': 0.4, '2': 0.8, '4': 0.8}",0.7
topo0_it0,20,32,3.2,1,1.1661903789690602,1.9219280948873623,-0.10344827586206896,0.42857142857142855,0.6733333333333333,0.2,0.6947552038674303,3.6301875358374627,0.26313272458630016,"{'3': 0.4, '1': 0.4, '2': 0.4, '4': 0.4}",0.4
topo0_rnp_it5,20,32,3.2,1,1.1661903789690602,1.9016094970590274,0.010752688172043012,0.35714285714285715,0.5366666666666666,0.4,1.1616362262946698,3.7613647084235176,0.238150655909347,"{'3': 0.8, '1': 0.4, '2': 0.8, '4': 0.8}",0.7
topo0_rnp_it2,20,32,3.2,1,1.1224972160321824,1.8709505944546685,-0.033091202582728005,0.3253012048192771,0.5216666666666667,0.3,0.9454360335927534,3.7041505113436095,0.24017037313487005,"{'3': 0.6, '1': 0.4, '2': 0.6, '4': 0.8}",0.6000000000000001
topo0_rnp_it3,20,32,3.2,1,1.1661903789690602,1.9016094970590274,0.010752688172043012,0.35714285714285715,0.5366666666666666,0.4,1.1616362262946707,3.7613647084235184,0.23815065590934326,"{'3': 0.8, '1': 0.4, '2': 0.8, '4': 0.8}",0.7
topo0_rac_it1,20,32,3.2,1,1.2083045973594573,1.8149798205164813,-0.03939184519695923,0.35294117647058826,0.5433333333333333,0.3,0.8378367534921654,3.696832268348473,0.2630649168370586,"{'3': 0.6, '1': 0.4, '2': 0.6, '4': 0.4}",0.5
topo1_rnp_it1,29,40,2.7586206896551726,1,2.860614503718088,2.2336459490643237,-0.4091934305409955,0.15873015873015872,0.2387583680687129,0.38461538461538464,1.8484206718644711,4.875079064948003,0.27953799071368807,"{'1': 0.037037037037037035, '2': 0.5}",0.2685185185185185
