topology,total_paths,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo5_rnp_it2,3976,2.3089430894308944,1722,2.407108239095315,1238,2.0578512396694215,484
topo5_rnp_it3,3976,2.3089430894308944,1722,2.407108239095315,1238,2.0578512396694215,484
topo5_rnp_it4,3976,2.3089430894308944,1722,2.407108239095315,1238,2.0578512396694215,484
topo5_rnp_it5,3976,2.3089430894308944,1722,2.407108239095315,1238,2.0578512396694215,484
topo6_it0,55375,28.96182008368201,1912,32.594637223974765,1268,21.809006211180126,644
topo6_rac_it1,56149,28.98760970573051,1937,32.33540372670807,1288,22.343605546995377,649
topo6_rac_it2,57548,29.28651399491094,1965,32.62042682926829,1312,22.588055130168453,653
topo6_rac_it3,50085,27.39879649890591,1828,30.382207578253706,1214,21.5,614
topo6_rac_it4,53374,31.067520372526193,1718,34.55109170305677,1145,24.1064572425829,573
topo6_rac_it5,55440,30.130434782608695,1840,32.18382352941177,1224,26.050324675324674,616
topo6_rnp_it1,56311,29.68423827095414,1897,33.616177636796195,1261,21.888364779874212,636
topo6_rnp_it2,54475,29.146602461209202,1869,32.72357723577236,1230,22.26134585289515,639
topo6_rnp_it3,56632,29.541992696922275,1917,33.4850863422292,1274,21.729393468118197,643
topo6_rnp_it4,51042,27.830970556161397,1834,31.010664479081214,1219,21.528455284552845,615
topo6_rnp_it5,55576,29.26592943654555,1899,32.65803921568627,1275,22.334935897435898,624
topo7_it0,22710,14.557692307692308,1560,16.29190207156309,1062,10.859437751004016,498
topo7_rac_it1,34717,22.254487179487178,1560,24.42090395480226,1062,17.634538152610443,498
topo7_rac_it2,23760,15.23076923076923,1560,16.495291902071564,1062,12.534136546184738,498
topo7_rac_it3,23178,14.857692307692307,1560,16.23728813559322,1062,11.91566265060241,498
topo7_rac_it4,22664,14.528205128205128,1560,15.67984934086629,1062,12.072289156626505,498
topo7_rac_it5,32532,20.853846153846153,1560,22.33804143126177,1062,17.688755020080322,498
topo7_rnp_it1,28824,18.476923076923075,1560,20.65536723163842,1062,13.831325301204819,498
topo7_rnp_it2,28786,18.452564102564104,1560,20.619585687382298,1062,13.831325301204819,498
topo7_rnp_it3,28814,18.47051282051282,1560,20.645951035781543,1062,13.831325301204819,498
topo7_rnp_it4,28814,18.47051282051282,1560,20.645951035781543,1062,13.831325301204819,498
topo7_rnp_it5,28814,18.47051282051282,1560,20.645951035781543,1062,13.831325301204819,498
topo8_it0,50053,42.061344537815124,1190,40.17037037037037,810,46.0921052631579,380
topo8_rac_it1,52666,44.29436501261564,1189,41.00123609394314,809,51.305263157894736,380
topo8_rac_it2,53847,45.24957983193277,1190,41.525925925925925,810,53.18684210526316,380
topo8_rac_it3,46361,38.95882352941177,1190,36.15679012345679,810,44.93157894736842,380
topo8_rac_it4,53590,45.03361344537815,1190,42.44197530864197,810,50.55789473684211,380
topo8_rac_it5,45221,38.00084033613445,1190,38.196296296296296,810,37.584210526315786,380
topo8_rnp_it1,44978,37.79663865546218,1190,36.51604938271605,810,40.526315789473685,380
topo8_rnp_it2,49903,41.93529411764706,1190,39.63703703703704,810,46.834210526315786,380
topo8_rnp_it3,47076,39.55966386554622,1190,37.81728395061728,810,43.27368421052632,380
topo8_rnp_it4,42932,36.07731092436975,1190,36.13333333333333,810,35.95789473684211,380
topo8_rnp_it5,44826,37.66890756302521,1190,36.68518518518518,810,39.76578947368421,380
topo9_it0,1194,2.3596837944664033,506,2.25,312,2.536082474226804,194
topo9_rac_it1,2638,5.213438735177865,506,5.243589743589744,312,5.164948453608248,194
topo9_rac_it2,4566,9.023715415019764,506,9.01923076923077,312,9.030927835051546,194
topo9_rac_it3,7156,14.142292490118576,506,14.5,312,13.56701030927835,194
topo9_rac_it4,10286,20.32806324110672,506,20.628205128205128,312,19.84536082474227,194
topo9_rac_it5,8834,17.458498023715414,506,17.17948717948718,312,17.90721649484536,194
topo9_rnp_it1,1896,3.7470355731225298,506,4.269230769230769,312,2.9072164948453607,194
topo9_rnp_it2,3004,5.936758893280633,506,7.358974358974359,312,3.649484536082474,194
topo9_rnp_it3,4100,8.102766798418973,506,10.64102564102564,312,4.020618556701031,194
topo9_rnp_it4,4934,9.75098814229249,506,12.653846153846153,312,5.082474226804123,194
topo9_rnp_it5,4934,9.75098814229249,506,12.653846153846153,312,5.082474226804123,194
