topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth
topo1_rnp_it2,33,78,4.7272727272727275,1,2.766386191764171,2.886807468569426,-0.01513361462728538,0.3237410071942446,0.38837509292054745,0.8125,2.1183433790990547,6.511894410627592,0.5391337579613089,"{'3': 1.625, '1': 1.0, '4': 1.0, '2': 1.5}"
topo6_rnp_it1,47,99,4.212765957446808,1,2.3873440259869487,2.8636947328133644,0.04979265272628553,0.2323008849557522,0.22925915691873133,0.07692307692307693,1.9387427695391395,6.362026495066362,0.05529860932597799,"{'3': 0.5, '1': 0.07142857142857142, '2': 0.07692307692307693}"
topo6_rac_it3,47,99,4.212765957446808,1,2.509014981873691,3.0744095957140503,0.002029723875819358,0.21244635193133046,0.20241011943139603,0.21052631578947367,1.9024670337986596,6.321015527249018,0.19031160351827772,"{'3': 0.3333333333333333, '1': 0.14285714285714285, '2': 0.3076923076923077}"
topo6_rac_it2,47,99,4.212765957446808,1,2.534327475630315,2.994934329894698,0.022738824536528996,0.22388059701492538,0.2076601885112523,0.15789473684210525,2.0196885039199346,6.426884597903754,0.18067514924948666,"{'3': 0.3333333333333333, '1': 0.10714285714285714, '2': 0.23076923076923078}"
topo6_rac_it5,47,99,4.212765957446808,1,2.466250235036954,3.0775752256156896,-0.022513635836138468,0.19522776572668113,0.1970909704952258,0.2631578947368421,1.7986296743627408,6.15148924929607,0.2666115539733579,"{'3': 0.5, '1': 0.17857142857142858, '2': 0.46153846153846156}"
topo6_rac_it4,47,99,4.212765957446808,1,2.4919971501363953,3.090277364805267,0.030104824198108837,0.21336206896551724,0.20203862331521907,0.21052631578947367,1.9863699432067579,6.320318203562749,0.22382932227616006,"{'3': 0.5, '1': 0.14285714285714285, '2': 0.38461538461538464}"
topo6_rnp_it5,47,99,4.212765957446808,1,2.072475857342284,2.8484361768951367,-0.04756700365135812,0.17899761336515513,0.1843465045592705,0.23076923076923078,1.2113296475384363,5.684205876053698,0.1544277262812016,"{'3': 1.0, '1': 0.17857142857142858, '2': 0.23076923076923078}"
topo6_rnp_it4,47,99,4.212765957446808,1,2.133184316509665,2.9234529308383377,-0.023090941417016123,0.18352941176470589,0.18839918946301923,0.23076923076923078,1.3321705517756337,5.800660247905878,0.14024854011947532,"{'3': 0.8333333333333334, '1': 0.14285714285714285, '2': 0.23076923076923078}"
topo6_rnp_it3,47,99,4.212765957446808,1,2.1824851169365656,2.881449346773719,-0.023621725448526285,0.20232558139534884,0.20302262749071254,0.15384615384615385,1.4878413240941342,5.937995689890415,0.0939626347860569,"{'3': 0.8333333333333334, '1': 0.10714285714285714, '2': 0.15384615384615385}"
topo6_rac_it1,47,99,4.212765957446808,1,2.43149695781475,2.9195149914230774,0.041346017322164696,0.2363238512035011,0.2261336771975069,0.10526315789473684,1.9658683948631097,6.400053889846821,0.11663218696332547,"{'3': 0.3333333333333333, '1': 0.07142857142857142, '2': 0.15384615384615385}"
